Well,slope,Status,Plate,Compound_id,lib_name,SMILES,Compound Name,SecName,slope_norm,Result
A17,0.052761904761904774,Sample,ex_plate2_run1,Compound_0334,example_library,N#Cc1ncn(Cc2nc3ccccc3o2)n1,,,0.3016167417669063,Sample
A18,0.04166666666666662,Sample,ex_plate2_run1,Compound_0335,example_library,CCONC(=O)C1CC(=O)N(c2ccc3c(c2)OCO3)C1,,,-0.5616671072212112,Sample
A19,0.045238095238095244,Sample,ex_plate2_run1,Compound_0336,example_library,COC(=O)C1=C(Sc2ccc(Cl)cc2)CSC1,,,-0.28378603995035545,Sample
A20,0.056714285714285696,Sample,ex_plate2_run1,Compound_0337,example_library,Cc1c(C2Nc3ccccc3C(=O)N2C2CC2)cc(C#N)n1C,,,0.6091384562133133,Sample
A21,0.04985714285714284,Sample,ex_plate2_run1,Compound_0338,example_library,OC(COc1ccccc1)CSc1nnc2ccccn12,,,0.07560680705327807,Sample
A22,0.049285714285714266,Sample,ex_plate2_run1,Compound_0339,example_library,Cc1ccc([N+](=O)[O-])cc1N(S(C)(=O)=O)S(C)(=O)=O,,,0.031145836289941352,Sample
A23,0.06914285714285712,Negative,ex_plate2_run1,,,,,,1.576164570315877,Negative
A24,0.003428571428571121,Positive,ex_plate2_run1,,,,,,-3.5368470674678187,Positive
B1,0.05866666666666666,Negative,ex_plate2_run1,,,,,,0.7610467729880465,Negative
B2,-0.015380952380952386,Positive,ex_plate2_run1,,,,,,-5.000354021760948,Positive
B3,0.051666666666666645,Sample,ex_plate2_run1,Compound_0340,example_library,O=C(c1cnn(-c2ccccc2)c1)N1CCC(C(=O)N2CCCCCC2)CC1,,,0.2163998811371758,Sample
B4,0.04319047619047618,Sample,ex_plate2_run1,Compound_0341,example_library,Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)NC(=O)C(C(C)C)N1CCCNC1=O,Lopinavir (ABT-378),,-0.44310451851897825,Sample
B5,0.053238095238095216,Sample,ex_plate2_run1,Compound_0342,example_library,Nc1nc(N2CCCC2)nc(Nc2ccccc2)c1[N+](=O)[O-],,,0.3386675507363506,Sample
B6,0.053619047619047594,Sample,ex_plate2_run1,Compound_0343,example_library,CCN(CC)C(=O)CSCC(=O)Nc1ccc(OC(F)F)cc1,,,0.36830819791190783,Sample
B7,0.05738095238095236,Sample,ex_plate2_run1,Compound_0344,example_library,Cc1csc(C2(C#N)Cc3ccccc3N3CCCC32)n1,,,0.6610095887705387,Sample
B8,0.05390476190476189,Sample,ex_plate2_run1,Compound_0345,example_library,Nc1c(N(Cc2ccco2)C(=O)c2ccc3c(c2)OCCO3)c(=O)[nH]c(=O)n1Cc1ccccc1,,,0.390538683293577,Sample
B9,0.027714285714285747,Sample,ex_plate2_run1,,,,,,-1.6472558100259997,Sample
B10,0.06538095238095235,Sample,ex_plate2_run1,Compound_0346,example_library,CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,Terconazole,,1.2834631794572458,Sample
B11,0.059904761904761905,Sample,ex_plate2_run1,Compound_0347,example_library,O=C(c1cccnc1Oc1ccccc1)n1ccc(-c2cccs2)n1,,,0.8573788763086091,Sample
B12,0.05533333333333335,Sample,ex_plate2_run1,Compound_0348,example_library,O=C1C(=O)N(C2CCCC2)C(=O)N1CCOc1cccc(Br)c1,,,0.5016911102019201,Sample
B13,0.05909523809523814,Sample,ex_plate2_run1,Compound_0349,example_library,N=C(N)NC(=N)Nc1ccc(F)cc1Br,,,0.7943925010605526,Sample
B14,0.055095238095238024,Sample,ex_plate2_run1,Compound_0350,example_library,Cc1c(-c2csc(-c3ccc(Cl)cc3)n2)sc2ccc(Cl)cc12,,,0.48316570571718964,Sample
B15,0.0564285714285714,Sample,ex_plate2_run1,Compound_0351,example_library,Clc1ccc(Sc2nc3ccccc3nc2Sc2ccc(Cl)cc2)cc1,,,0.5869079708316441,Sample
B16,0.05104761904761902,Sample,ex_plate2_run1,Compound_0352,example_library,Cc1noc(-c2ccc(C(=O)Nc3ccccc3CN(C)C3CCCCC3)cc2)n1,,,0.1682338294768945,Sample
B17,0.048523809523809504,Sample,ex_plate2_run1,Compound_0353,example_library,N#Cc1cnn(-c2ccc(F)cc2)c1N,,,-0.028135458061173735,Sample
B18,0.05533333333333332,Sample,ex_plate2_run1,Compound_0354,example_library,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,,FENDILINE HYDROCHLORIDE,0.5016911102019175,Sample
B19,0.05780952380952378,Sample,ex_plate2_run1,Compound_0355,example_library,CC1CCCN(S(=O)(=O)NCc2cccs2)C1,,,0.6943553168430405,Sample
B20,0.05919047619047614,Sample,ex_plate2_run1,Compound_0356,example_library,CCn1c(N)c(Br)c(=O)[nH]c1=O,,,0.8018026628544348,Sample
B21,0.023571428571428577,Sample,ex_plate2_run1,Compound_0357,example_library,O=C1NC2(CCCC2)C(=O)N1CCC(=O)N1CCc2ccccc21,,,-1.9695978480601901,Sample
B22,0.043761904761904766,Sample,ex_plate2_run1,Compound_0358,example_library,Cc1nn(-c2ccccc2)nc1C(=O)NC1CCS(=O)(=O)C1,,,-0.39864354775564104,Sample
B23,0.06342857142857142,Negative,ex_plate2_run1,,,,,,1.1315548626825154,Negative
B24,-0.004142857142857154,Positive,ex_plate2_run1,,,,,,-4.125954930082002,Positive
C1,0.06914285714285712,Negative,ex_plate2_run1,,,,,,1.576164570315877,Negative
C3,0.041714285714285676,Sample,ex_plate2_run1,Compound_0359,example_library,O=C(NC(=S)N1CCCC1)c1ccccc1,,,-0.5579620263242661,Sample
C4,0.04161904761904757,Sample,ex_plate2_run1,Compound_0360,example_library,O=C(O)CC(=Cc1ccc(-c2cccs2)s1)C(=O)O,,,-0.5653721881181563,Sample
C5,0.05185714285714284,Sample,ex_plate2_run1,Compound_0361,example_library,Nc1nnc(SCCSc2ccc(Cl)cc2)s1,,,0.23122020472495472,Sample
C6,0.05219047619047619,Sample,ex_plate2_run1,Compound_0362,example_library,CN(CC(=O)Nc1c(Cl)cccc1Cl)C(=O)CCc1ncc(-c2ccccc2F)o1,,,0.257155771003569,Sample
C7,0.04871428571428568,Sample,ex_plate2_run1,Compound_0363,example_library,c1ccc(CSc2nnc3sc4ccccc4n23)cc1,,,-0.013315134473395909,Sample
C8,0.04795238095238093,Sample,ex_plate2_run1,Compound_0364,example_library,CC(C)(C)C(=O)CNCC(=O)C(C)(C)C,,,-0.07259642882451045,Sample
C9,0.03847619047619047,Sample,ex_plate2_run1,Compound_0365,example_library,CC(C=C(C#N)c1ccc([N+](=O)[O-])cc1)Cc1ccc(C(C)(C)C)cc1,,,-0.8099075273165026,Sample
C10,0.04380952380952378,Sample,ex_plate2_run1,Compound_0366,example_library,CC(C)C(C)(C#N)NC(=O)COC(=O)c1cc2c(s1)CCC2,,,-0.3949384668586991,Sample
C11,0.0486190476190476,Sample,ex_plate2_run1,Compound_0367,example_library,Cc1cc(NC(=O)CCCC(=O)O)no1,,,-0.02072529626728401,Sample
C12,0.04852380952380946,Sample,ex_plate2_run1,Compound_0368,example_library,CC(=C(C#N)C#N)c1ccc(Cl)cc1,,,-0.028135458061176975,Sample
C13,0.04776190476190476,Sample,ex_plate2_run1,Compound_0369,example_library,O=C(NNc1ccc(F)cc1)c1ccccc1,,,-0.0874167524122872,Sample
C14,0.04647619047619046,Sample,ex_plate2_run1,Compound_0370,example_library,Cc1cccc(NC(=O)NC(=O)c2ccc(C(C)(C)C)s2)n1,,,-0.18745393662979495,Sample
C15,0.0433333333333333,Sample,ex_plate2_run1,Compound_0371,example_library,O=[N+]([O-])c1cc(S(=O)(=O)N2CCCCC2)ccc1N1CCCC1,,,-0.4319892758281461,Sample
C16,0.04685714285714287,Sample,ex_plate2_run1,Compound_0372,example_library,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,THIOSULFIL,SULFAMETHIZOLE,-0.15781328945423553,Sample
C17,0.05461904761904763,Sample,ex_plate2_run1,Compound_0373,example_library,O=S(=O)(c1ccc(-c2ccccn2)s1)N1CCC2(CC1)OCCO2,,,0.4461148967477491,Sample
C18,0.048380952380952365,Sample,ex_plate2_run1,Compound_0374,example_library,c1ccc2oc(SCc3cn4ccsc4n3)nc2c1,,,-0.03925070075200751,Sample
C19,0.055571428571428556,Sample,ex_plate2_run1,Compound_0375,example_library,CC(=O)N1CCCN(S(=O)(=O)c2cc(Cl)sc2Cl)CC1,,,0.520216514686641,Sample
C20,0.059190476190476154,Sample,ex_plate2_run1,Compound_0376,example_library,CCC(C)Cc1c(C)sc2nc(CN(C)CC(=O)Nc3ccccc3Br)[nH]c(=O)c12,,,0.8018026628544359,Sample
C21,0.03538095238095235,Sample,ex_plate2_run1,Compound_0377,example_library,COc1ccc(Sc2ccccc2COC(C)=O)c(C(=O)O)c1,,,-1.0507377856179092,Sample
C22,0.011999999999999995,Sample,ex_plate2_run1,Compound_0378,example_library,O=C1c2ccccc2N2C(=O)CCC2(C(=O)O)N1Cc1ccco1,,,-2.8699325060177507,Hit
C23,0.06271428571428567,Negative,ex_plate2_run1,,,,,,1.075978649228342,Negative
D1,0.05890476190476187,Negative,ex_plate2_run1,,,,,,0.7795721774727677,Negative
D3,0.03823809523809521,Sample,ex_plate2_run1,Compound_0379,example_library,O=S(=O)(Nc1ccc2c(c1)OCCO2)c1ccc2c(c1)CCCC2,,,-0.8284329318012277,Sample
D4,0.059476190476190446,Sample,ex_plate2_run1,Compound_0380,example_library,O=c1c(Cl)c(N2CCN(S(=O)(=O)c3ccccc3F)CC2)cnn1Cc1ccccc1,,,0.8240331482361045,Sample
D5,0.05328571428571427,Sample,ex_plate2_run1,Compound_0381,example_library,N#CC(C#N)=CNCCSc1ccc(C(F)(F)F)cn1,,,0.3423726316332957,Sample
D6,0.054142857142857145,Sample,ex_plate2_run1,Compound_0382,example_library,,,,0.4090640877783016,Sample
D7,0.061523809523809515,Sample,ex_plate2_run1,Compound_0383,example_library,C=CCOc1ccc(CN(C)c2ccc(S(N)(=O)=O)cn2)cc1,,,0.9833516268047279,Sample
D8,0.06399999999999995,Sample,ex_plate2_run1,Compound_0384,example_library,Cc1ccc(C2([N+](=O)[O-])C(=O)c3ccccc3C2=O)cc1,,,1.1760158334458484,Sample
D9,0.05333333333333331,Sample,ex_plate2_run1,Compound_0385,example_library,,,,0.3460777125302398,Sample
D10,0.04361904761904761,Sample,ex_plate2_run1,Compound_0386,example_library,Cc1cc(CSc2nnc(NC3CC3)s2)on1,,,-0.40975879044647584,Sample
D11,-0.004142857142857154,Sample,ex_plate2_run1,Compound_0387,example_library,CNc1nnc(SC(C)C(=O)N(C)C2(C#N)CCCCC2)s1,,,-4.125954930082002,Hit
D12,0.06076190476190471,Sample,ex_plate2_run1,Compound_0388,example_library,COCCn1c(=O)c2c(nc3n2CC(C)CN3C2CCCCC2)n(C)c1=O,,,0.9240703324536096,Sample
D13,0.05109523809523806,Sample,ex_plate2_run1,Compound_0389,example_library,CNC(=O)NC(=O)CSc1ncnc2sc(-c3ccccc3)cc12,,,0.17193891037383854,Sample
D14,0.055809523809523774,Sample,ex_plate2_run1,Compound_0390,example_library,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,,alpha-TOCHOPHEROL [4 mM],0.5387419191713628,Sample
D15,0.05366666666666663,Sample,ex_plate2_run1,Compound_0391,example_library,CSc1ccc(Oc2nc3sccn3c2[N+](=O)[O-])cc1,,,0.3720132788088519,Sample
D16,0.055809523809523774,Sample,ex_plate2_run1,Compound_0392,example_library,Cc1c(Cl)cccc1NC(=O)CNC(=O)CN(C)CC1COc2ccccc2O1,,,0.5387419191713628,Sample
D17,0.055571428571428556,Sample,ex_plate2_run1,Compound_0393,example_library,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,DIABINESE,CHLORPROPAMIDE,0.520216514686641,Sample
D18,0.05409523809523808,Sample,ex_plate2_run1,Compound_0395,example_library,c1ccc(N2CCCCC2)c(NCc2nc(-c3ccsc3)no2)c1,,,0.4053590068813554,Sample
D19,0.047380952380952336,Sample,ex_plate2_run1,Compound_0396,example_library,COc1ccc(S(=O)(=O)C2CS(=O)(=O)CC2O)cc1,,,-0.11705739958784826,Sample
D20,0.05595238095238093,Sample,ex_plate2_run1,Compound_0397,example_library,O=C1OCc2ccc(NC(=O)c3c(F)cccc3Cl)cc21,,,0.5498571618621977,Sample
D21,0.04309523809523809,Sample,ex_plate2_run1,Compound_0398,example_library,COc1ccc(-n2nnnc2SC(C#N)Cc2ccc(C)cc2)cc1,,,-0.45051468031286745,Sample
D22,0.048285714285714286,Sample,ex_plate2_run1,Compound_0399,example_library,Cc1cc(C)c(C(=O)O)c(CC(C)(C)C(=O)O)c1,,,-0.04666086254589562,Sample
D23,0.07347619047619047,Negative,ex_plate2_run1,,,,,,1.9133269319378459,Negative
E1,0.06357142857142856,Negative,ex_plate2_run1,,,,,,1.142670105373349,Negative
E3,0.03747619047619048,Sample,ex_plate2_run1,Compound_0400,example_library,C=C(C)Cn1c(CC(C)C)nc2ccccc21,,,-0.8877142261523401,Sample
E4,0.04595238095238093,Sample,ex_plate2_run1,Compound_0401,example_library,C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,,ATROPINE OXIDE,-0.2282098264961871,Sample
E5,0.03357142857142857,Sample,ex_plate2_run1,Compound_0402,example_library,Fc1ccc(N=CC=CC=CNc2ccc(F)cc2)cc1,,,-1.1915308597018053,Sample
E6,0.05247619047619046,Sample,ex_plate2_run1,Compound_0403,example_library,CC(O)(CC(=O)O)CC(=O)O,,MEGLUTOL,0.279386256385236,Sample
E7,0.04247619047619045,Sample,ex_plate2_run1,Compound_0404,example_library,O=S1(=O)CC(Sc2cccs2)c2ccccc21,,,-0.4986807319731498,Sample
E8,0.036285714285714275,Sample,ex_plate2_run1,Compound_0405,example_library,O=C(CCc1cc2ccccc2o1)Nc1ccccc1OC(F)F,,,-0.9803412485759586,Sample
E9,0.04766666666666668,Sample,ex_plate2_run1,Compound_0406,example_library,CSc1ccc(COc2ccc3ccc(=O)oc3c2)cc1,,,-0.09482691420617585,Sample
E10,0.05066666666666668,Sample,ex_plate2_run1,Compound_0407,example_library,COCc1nc2cc3c(cc2c(=O)o1)OCCCO3,,,0.1385931823013399,Sample
E11,0.04819047619047616,Sample,ex_plate2_run1,Compound_0408,example_library,CCN(CC)Cc1nc(Sc2nnc(-c3cccs3)[nH]2)c2c(C)c(C)sc2n1,,,-0.0540710243397875,Sample
E12,0.04695238095238092,Sample,ex_plate2_run1,Compound_0409,example_library,CC(=NO)c1ccc(OCCOc2ccc(C#N)cc2)cc1,,,-0.15040312766034958,Sample
E13,0.02804761904761902,Sample,ex_plate2_run1,Compound_0410,example_library,,,,-1.6213202437473917,Sample
E14,0.05276190476190479,Sample,ex_plate2_run1,Compound_0411,example_library,CCN(Cc1ccccc1C)Cc1nnsc1Cl,,,0.30161674176690734,Sample
E15,0.049809523809523804,Sample,ex_plate2_run1,Compound_0412,example_library,O=C1CNC(=O)N1Cc1cccc(-n2c(S)nc3ccccc3c2=O)c1,,,0.07190172615633401,Sample
E16,0.04519047619047618,Sample,ex_plate2_run1,Compound_0413,example_library,CN1CC(=Cc2cccc3ccccc23)C(=O)C(=Cc2cccc3ccccc23)C1,,,-0.28749112084730166,Sample
E17,0.055809523809523774,Sample,ex_plate2_run1,Compound_0414,example_library,COC(=O)c1c(NC(=O)c2cccc([N+](=O)[O-])c2)sc(C)c1C,,,0.5387419191713628,Sample
E18,0.0474285714285714,Sample,ex_plate2_run1,Compound_0415,example_library,O=C(CSCC(=O)Nc1ccccc1)NNC(=O)c1ccccc1,,,-0.11335231869090205,Sample
E19,0.048523809523809476,Sample,ex_plate2_run1,Compound_0416,example_library,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,MIDICEL,SULFAMETHOXYPYRIDAZINE,-0.028135458061175896,Sample
E20,0.05376190476190473,Sample,ex_plate2_run1,Compound_0417,example_library,O=[N+]([O-])c1ccccc1NCCNc1cccc2ccccc12,,,0.37942344060274164,Sample
E21,0.03771428571428571,Sample,ex_plate2_run1,Compound_0418,example_library,CCC12CCCN3CCc4c(n(c5ccccc45)C(O)(C(=O)OC)C1)C32,OXICEBRAL,VINCAMINE,-0.8691888216676177,Sample
E22,0.0484285714285714,Sample,ex_plate2_run1,Compound_0419,example_library,O=C(NCC(F)(F)F)c1ccccc1NC(=O)C1CCN(S(=O)(=O)c2ccccc2F)CC1,,,-0.035545619855064,Sample
E23,0.0689523809523809,Negative,ex_plate2_run1,,,,,,1.5613442467280967,Negative
F1,0.06642857142857138,Negative,ex_plate2_run1,,,,,,1.3649749591900278,Negative
F3,0.05319047619047619,Sample,ex_plate2_run1,Compound_0420,example_library,COCCCNC(=S)NN=Cc1ccc(Cl)c(Cl)c1,,,0.3349624698394076,Sample
F4,0.061904761904761865,Sample,ex_plate2_run1,Compound_0421,example_library,O=S(=O)(NC12CC3CC(CC(C3)C1)C2)c1ccc2c(c1)OCCO2,,,1.012992273980283,Sample
F5,0.058142857142857086,Sample,ex_plate2_run1,Compound_0422,example_library,O=[N+]([O-])c1cc(S(=O)(=O)N2CCCCCC2)ccc1Nc1ccc2c(c1)OCO2,,,0.7202908831216511,Sample
F6,0.0535238095238095,Sample,ex_plate2_run1,Compound_0423,example_library,COc1ccc(NC(=O)c2ccc(C)c(S(=O)(=O)Nc3cc(Cl)c(OC)cc3OC)c2)cn1,,,0.3608980361180187,Sample
F7,0.061095238095238084,Sample,ex_plate2_run1,Compound_0424,example_library,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,Isopropamide iodide,,0.9500058987322255,Sample
F8,0.055857142857142876,Sample,ex_plate2_run1,Compound_0425,example_library,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,Nitrofurantoin,,0.5424470000683117,Sample
F9,0.022047619047619045,Sample,ex_plate2_run1,Compound_0426,example_library,Cc1nc(C)c(-c2nnc(S)n2-c2ccccc2C(F)(F)F)s1,,,-2.0881604367624207,Hit
F10,0.04538095238095238,Sample,ex_plate2_run1,Compound_0427,example_library,Fc1ccc(-c2ccc(CNCC3COc4ccccc4O3)o2)cc1,,,-0.27267079725952165,Sample
F11,0.057285714285714245,Sample,ex_plate2_run1,Compound_0428,example_library,N#Cc1ccc(N2CCN(C(=O)c3ccc(Cl)cc3)CC2)nc1,,,0.6535994269766479,Sample
F12,0.05157142857142855,Sample,ex_plate2_run1,Compound_0429,example_library,S=C(NN=Cc1ccc2c(c1)OCO2)NC1CC2CCC1C2,,,0.2089897193432866,Sample
F13,0.053428571428571416,Sample,ex_plate2_run1,Compound_0430,example_library,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,Vatalanib dihydrochloride (PTK787),,0.35348787432413004,Sample
F14,0.03590476190476181,Sample,ex_plate2_run1,Compound_0431,example_library,FC(F)(F)c1ccc(-n2ccnc2)nc1,,,-1.009981895751523,Sample
F15,0.04109523809523807,Sample,ex_plate2_run1,Compound_0432,example_library,COC(CNc1cccc(Cl)c1C#N)OC,,,-0.6061280779845463,Sample
F16,0.012333333333333321,Sample,ex_plate2_run1,Compound_0433,example_library,COC(=O)c1scc2c(O)cc(C(F)(F)F)nc12,,,-2.8439969397391387,Hit
F17,0.04204761904761903,Sample,ex_plate2_run1,Compound_0434,example_library,Cc1ccc(-n2ccnc2SCC(=O)NCCC(=O)N2CCCC2)cc1C,,,-0.5320264600456517,Sample
F18,0.05238095238095236,Sample,ex_plate2_run1,Compound_0435,example_library,COc1ccc(C2CCCN2C(=O)CCCCC2SCC3NC(=O)NC32)cc1,,,0.2719760945913463,Sample
F19,0.05280952380952374,Sample,ex_plate2_run1,Compound_0436,example_library,O=C(Cc1c(Cl)cccc1Cl)NC(c1ccccc1)c1ccncc1,,,0.3053218226638444,Sample
F20,0.037857142857142846,Sample,ex_plate2_run1,Compound_0437,example_library,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,SPECTAZOLE,ECONAZOLE NITRATE,-0.8580735789767839,Sample
F21,0.03542857142857147,Sample,ex_plate2_run1,Compound_0438,example_library,CN(C)CCC=C1c2ccccc2COc2ccccc21,SINEQUAN,DOXEPIN HYDROCHLORIDE,-1.047032704720959,Sample
F22,0.051476190476190474,Sample,ex_plate2_run1,Compound_0439,example_library,CCOC(=O)C(C#N)=Cc1ccc(N(C)C)cc1Cl,,,0.20157955754939852,Sample
F23,0.055999999999999946,Negative,ex_plate2_run1,,,,,,0.5535622427591401,Negative
G1,0.06147619047619046,Negative,ex_plate2_run1,,,,,,0.9796465459077828,Negative
G3,0.03514285714285714,Sample,ex_plate2_run1,Compound_0440,example_library,COC(=O)c1ccoc1COC(=O)c1sc(NC(=O)C(C)(C)C)cc1C,,,-1.0692631901026304,Sample
G4,0.04319047619047621,Sample,ex_plate2_run1,Compound_0441,example_library,CC(Oc1ccc(Cl)cc1Cl)C(=O)NC1=NCCS1,,,-0.4431045185189761,Sample
G5,0.020333333333333304,Sample,ex_plate2_run1,Compound_0442,example_library,NC(=O)c1c(NC(=O)CN2CCC(C(=O)Nc3ccc4c(c3)OCO4)CC2)sc2c1CCCC2,,,-2.221543349052432,Hit
G6,0.045,Sample,ex_plate2_run1,Compound_0443,example_library,CCCC(C)(NC(=O)CCCc1nc2ccccc2s1)C(=O)OC,,,-0.30231144443507946,Sample
G7,0.04385714285714283,Sample,ex_plate2_run1,Compound_0444,example_library,NNC(=O)C(O)C(O)C(O)C(O)CO,,,-0.391233385961754,Sample
G8,0.047095238095238065,Sample,ex_plate2_run1,Compound_0445,example_library,NC(Cc1nc(-c2cccc([N+](=O)[O-])c2)cs1)=NO,,,-0.13928788496951527,Sample
G9,0.04642857142857141,Sample,ex_plate2_run1,Compound_0446,example_library,OCC1OC(S[Au])C(O)C(O)C1O,SOLGANAL,AUROTHIOGLUCOSE,-0.19115901752674008,Sample
G10,0.02238095238095237,Sample,ex_plate2_run1,Compound_0447,example_library,NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,,NITROMIDE,-2.0622248704838086,Hit
G11,0.029809523809523782,Sample,ex_plate2_run1,Compound_0448,example_library,C=C(C)Cn1c(=O)c2c(nc3n(CCOC)c(C)cn23)n(C)c1=O,,,-1.484232250560438,Sample
G12,0.037619047619047545,Sample,ex_plate2_run1,Compound_0449,example_library,NC1=Nc2nc3ccccc3n2C(c2ccc(Cl)cc2Cl)N1,,,-0.8765989834615122,Sample
G13,0.03966666666666661,Sample,ex_plate2_run1,Compound_0450,example_library,Cc1ccc(C(CN2CCOCC2)NCc2nc(=O)c3c(-c4ccccc4Cl)csc3[nH]2)cc1,,,-0.7172805048928894,Sample
G14,0.0450952380952381,Sample,ex_plate2_run1,Compound_0451,example_library,CC(C)CNC(=O)C(C)Nc1ccc(F)cc1,,,-0.29490128264118975,Sample
G15,0.043380952380952374,Sample,ex_plate2_run1,Compound_0452,example_library,O=C1c2ccccc2-c2n[nH]c3cccc1c23,,,-0.42828419493119935,Sample
G16,0.04299999999999997,Sample,ex_plate2_run1,Compound_0453,example_library,CN(C)CC#Cc1cncc(C(=O)NNC(=O)Nc2ccc(Cl)cc2)c1,,,-0.4579248421067588,Sample
G17,0.043190476190476154,Sample,ex_plate2_run1,Compound_0454,example_library,Cc1ncc([N+](=O)[O-])n1CC(O)CCl,Ornidazole,,-0.4431045185189804,Sample
G18,0.04776190476190474,Sample,ex_plate2_run1,Compound_0455,example_library,CC(=O)N1CCN(C(=O)c2ccc(Br)o2)CC1,,,-0.08741675241228883,Sample
G19,0.0488095238095238,Sample,ex_plate2_run1,Compound_0456,example_library,COc1ccc(NC(=S)NNC(=O)c2nc3ccccc3c(=O)[nH]2)cc1,,,-0.005904972679504566,Sample
G20,0.037095238095238105,Sample,ex_plate2_run1,Compound_0457,example_library,CC(c1nc(C2CC2)no1)S(=O)(=O)c1ccc(Br)cc1,,,-0.9173548733278973,Sample
G21,0.046428571428571444,Sample,ex_plate2_run1,Compound_0458,example_library,CS(=O)(=O)N1CCC(NS(=O)(=O)c2ccc3c(c2)CCC3)CC1,,,-0.1911590175267374,Sample
G22,0.051999999999999984,Sample,ex_plate2_run1,Compound_0459,example_library,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cc(C(=O)OC)c(OC)cc1OC,,,0.24233544741578902,Sample
G23,0.06538095238095235,Negative,ex_plate2_run1,,,,,,1.2834631794572458,Negative
H1,0.07247619047619042,Negative,ex_plate2_run1,,,,,,1.8355202331020029,Negative
H3,0.051238095238095215,Sample,ex_plate2_run1,Compound_0460,example_library,C=CCOc1ccc2ccccc2c1CNCC1CCCO1,,,0.1830541530646734,Sample
